yy,admin2,latitude,longitude,num_events,total_fatalities,event_type
2020,Yabroud,33.8636,36.4158,1,2,Battles
2020,Homs,34.7181333333333,36.7779666666667,6,6,Explosions/Remote violence
2020,An Nabk,34.024,36.7285,1,2,Explosions/Remote violence
2020,Qatana,33.3347857142857,36.0225142857143,7,2,Explosions/Remote violence
2020,Salkhad,32.5231375,36.639775,8,32,Battles
2020,Salkhad,32.5442333333333,36.6812,3,4,Explosions/Remote violence
2020,Shahba,32.8879666666667,36.6463666666667,6,5,Violence against civilians
2020,Qatana,33.2959857142857,36.0121142857143,7,2,Battles
2020,Menbij,36.53305,37.900975,4,2,Violence against civilians
2020,As Safira,35.9078333333333,37.4063333333333,3,0,Battles
2020,Al Malikeyyeh,37.1745,42.1403,3,0,Battles
2020,Rural Damascus,33.5029,36.3662,2,1,Violence against civilians
2020,Tall Kalakh,34.6953,36.458,1,0,Battles
2020,Masyaf,35.1967,36.4892,1,0,Violence against civilians
2020,Damascus,33.5172,36.2767,3,9,Battles
2020,Jablah,35.407,35.9479,7,0,Battles
2020,Rural Damascus,33.4221222222222,36.2597888888889,9,19,Battles
2020,Az Zabdani,33.6303333333333,36.0791666666667,3,1,Explosions/Remote violence
2020,Shahba,32.9229,36.5627,2,3,Explosions/Remote violence
2020,Jarablus,36.7562666666667,38.0003333333333,3,1,Violence against civilians
2020,Al Qutayfah,33.7381,36.5966,1,1,Battles
2020,As Suqaylabiyah,35.6048,36.4021,2,1,Violence against civilians
2020,As Safira,35.979775,37.378975,4,2,Explosions/Remote violence
2020,Hama,35.092,36.7697,2,10,Battles
2020,Tartous,34.8866,35.8934,1,1,Violence against civilians
2020,Salkhad,32.48576,36.68032,5,1,Violence against civilians
2020,Al Qardaha,35.4538,36.0511,2,0,Explosions/Remote violence
2020,Al Qardaha,35.4538,36.0511,1,1,Violence against civilians
2020,Al Qusayr,34.5078,36.5803,1,0,Explosions/Remote violence
2020,An Nabk,34.0307,36.584,2,0,Battles
2020,At Tall,33.6042,36.3118,1,2,Explosions/Remote violence
2020,Darayya,33.4253,36.2255,1,2,Explosions/Remote violence
2020,Jablah,35.3786666666667,35.9363,3,0,Explosions/Remote violence
2020,At Tall,33.72845,36.3554,2,26,Battles
2020,As Safira,35.7839,37.4998,1,6,Violence against civilians
2019,Al Mara,35.5419636701512,36.6416772822308,4305,1169,Explosions/Remote violence
2019,Masyaf,35.1491216216216,36.3934027027027,37,16,Explosions/Remote violence
2019,Al Bab,36.407904,37.5123213333333,75,91,Battles
2019,At Tall,33.6653000000001,36.329,122,293,Violence against civilians
2019,Jebel Saman,36.1581173652695,37.0323622754491,167,407,Battles
2019,Al Mara,35.5493929292929,36.7389760942762,297,1521,Battles
2019,Al Mayadin,34.9911266666667,40.5290083333333,120,331,Battles
2019,Ariha,35.7326272536687,36.5431758909853,477,243,Explosions/Remote violence
2019,Idleb,35.8492892063492,36.7990765079366,630,427,Explosions/Remote violence
2019,Afrin,36.5106510948905,36.8834277372262,137,94,Explosions/Remote violence
2019,Tell Abiad,36.5610846153846,38.9329777777778,117,164,Explosions/Remote violence
2019,As Sanamayn,33.0738363636364,36.1745672727273,55,46,Battles
2019,Quamishli,36.9786939393939,41.2906181818182,33,7,Violence against civilians
2019,As Suqaylabiyah,35.5246966225625,36.386014066852,2872,676,Explosions/Remote violence
2019,Al Hasakeh,36.3434763779528,40.8124527559055,127,62,Violence against civilians
2019,Al Hasakeh,36.414752739726,40.6475356164384,146,225,Battles
2019,Deir ez Zor,35.2730397727273,40.3452028409091,176,240,Battles
2019,Afrin,36.5359885245901,36.8085368852459,122,34,Violence against civilians
2019,Idleb,35.8590644444444,36.7862422222222,90,243,Battles
2019,Izra,32.8524693877551,36.1724959183674,49,72,Battles
2019,Ar Raqqa,35.9342459459459,39.0950837837838,37,39,Violence against civilians
2019,Tell Abiad,36.5390007407408,38.9172762962963,135,306,Battles
2019,Dara,32.6620938461539,36.1344492307692,65,65,Explosions/Remote violence
2019,Jebel Saman,36.0992417307691,37.0292592307691,1040,300,Explosions/Remote violence
2019,Abu Kamal,34.5430347058824,40.9114423529412,170,670,Explosions/Remote violence
2019,Azaz,36.5106075,37.0901364285715,280,112,Explosions/Remote violence
2019,Azaz,36.5188153846154,37.102391025641,156,170,Battles
2019,As Sanamayn,33.0653388888889,36.1745055555556,18,10,Violence against civilians
2019,Qatana,33.3321428571429,36.0591714285714,7,5,Explosions/Remote violence
2019,Ar Raqqa,35.9556770114942,39.0371218390804,87,130,Explosions/Remote violence
2019,Al Mayadin,34.9703901960784,40.555337254902,102,93,Violence against civilians
2019,Dara,32.6783857142857,36.1019519480519,77,57,Violence against civilians
2019,Al Qardaha,35.4525,36.05748,5,3,Explosions/Remote violence
2019,Tell Abiad,36.6018833333333,38.9638958333333,24,48,Violence against civilians
2019,Al Haffa,35.7268660550458,36.2132550458715,109,624,Battles
2019,Al Hasakeh,36.3513712328767,40.6647575342466,146,184,Explosions/Remote violence
2019,Hama,35.2339657894737,36.7427,38,144,Battles
2019,Al Haffa,35.7289133333334,36.206872631579,285,19,Explosions/Remote violence
2019,Jisr Ash Shugur,35.8046238709678,36.256193548387,465,161,Explosions/Remote violence
2019,As Suqaylabiyah,35.5015058536585,36.3871907317073,205,789,Battles
2019,Al Mayadin,34.9729147540984,40.5562016393443,61,87,Explosions/Remote violence
2019,Izra,32.865675862069,36.1820482758621,29,18,Violence against civilians
2019,Jablah,35.3815,35.93746,15,4,Explosions/Remote violence
2019,Ras Al Ain,36.79023,40.1878825000001,200,368,Battles
2019,Ras Al Ain,36.8294048,40.1746896000001,125,170,Explosions/Remote violence
2019,Ath Thawrah,35.8922863636364,38.5239863636364,22,10,Explosions/Remote violence
